0.000000	0.709688	0.950024
0.600000	0.688471	0.922805
1.200000	0.629260	0.839240
1.800000	0.585216	0.777971
2.400000	0.552816	0.729242
3.000000	0.520109	0.678312
3.600000	0.469169	0.601336
4.200000	0.438424	0.554992
4.800000	0.402556	0.500310
5.400000	0.369607	0.450717
6.000000	0.318991	0.370942
6.200000	0.306413	0.355164
6.300000	0.300950	0.346615
6.400000	0.295351	0.338295
6.500000	0.289204	0.330454
6.600000	0.282894	0.320191
6.700000	0.277327	0.313119
6.800000	0.271844	0.303802
6.900000	0.266343	0.295654
7.000000	0.259671	0.286984
7.100000	0.254868	0.277943
7.200000	0.248969	0.268352
7.300000	0.243689	0.261183
7.400000	0.239025	0.252341
7.500000	0.232657	0.243730
7.600000	0.228232	0.236009
7.700000	0.218526	0.222253
7.800000	0.215941	0.216049
7.900000	0.211941	0.210763
8.000000	0.206024	0.200166
8.100000	0.200816	0.192525
8.200000	0.195853	0.183963
8.300000	0.190709	0.177723
8.400000	0.186194	0.171168
8.500000	0.180767	0.163559
8.600000	0.175683	0.155602
8.700000	0.171346	0.147822
8.800000	0.166890	0.141201
8.900000	0.162515	0.132912
9.000000	0.158842	0.127285
9.100000	0.155013	0.120566
9.200000	0.151497	0.114909
9.300000	0.148737	0.110842
9.400000	0.146809	0.107510
9.500000	0.143373	0.103782
9.600000	0.140769	0.101016
9.700000	0.139855	0.098452
9.800000	0.138973	0.096966
9.900000	0.139312	0.095759
10.000000	0.135991	0.094456
10.100000	0.138270	0.096194
10.200000	0.138198	0.098723
10.300000	0.140331	0.098796
10.400000	0.138162	0.108803
10.500000	0.137088	0.116206
10.600000	0.131496	0.127314
10.700000	0.127306	0.131052
10.800000	0.124278	0.132154
10.900000	0.124773	0.135626
11.000000	0.126762	0.140162
11.100000	0.128560	0.149029
11.200000	0.131945	0.157917
11.300000	0.134295	0.166910
11.400000	0.136311	0.174889
11.500000	0.139403	0.190319
11.600000	0.142783	0.198384
11.700000	0.145478	0.210085
11.800000	0.149375	0.222986
11.900000	0.152905	0.234836
12.000000	0.156487	0.248496
12.100000	0.162456	0.263351
12.200000	0.168032	0.277086
12.300000	0.178074	0.296376
12.400000	0.189638	0.316734
12.500000	0.206963	0.343830
12.600000	0.227923	0.363437
12.700000	0.246688	0.377615
12.800000	0.242436	0.370576
12.900000	0.237604	0.368446
13.000000	0.216855	0.357881
13.100000	0.210346	0.352298
13.200000	0.206054	0.350643
13.300000	0.213110	0.360086
13.400000	0.212493	0.358907
13.500000	0.217366	0.366328
13.600000	0.226228	0.375544
13.700000	0.232553	0.384341
13.800000	0.238718	0.394583
13.900000	0.246665	0.403957
14.000000	0.252159	0.415985
14.100000	0.258629	0.426410
14.200000	0.260671	0.435005
14.800000	0.278822	0.465513
15.400000	0.312942	0.515793
16.000000	0.345873	0.572031
16.600000	0.384401	0.625170
17.200000	0.432064	0.698417
17.800000	0.465163	0.750766
18.400000	0.514868	0.816653
19.000000	0.544174	0.855389
19.600000	0.580245	0.903147
20.200000	0.634808	0.968810
20.800000	0.665350	1.011444
21.400000	0.651520	1.003818
22.000000	0.681851	1.030478
